genome_id,genome_name,repository,species_id,sra_accession,quality_level,completeness,contamination,count_contigs,genome_length,avg_contig_length,contig_N50,average_depth,percent_contigs_5x_depth,count_trnas,rrna_5s_present,rrna_16s_present,rrna_23s_present,species_alt_id,species_name,representative_genome,gtdb_taxonomy,operational_taxonomy,count_hgm,count_ref,gut_species,new_species,cultured_species,high_quality
1094466.10.patric,Flavobacterium indicum GPTSA100-9 = DSM 17447,PATRIC,OTU-06589,,high,99.29,0.07,1,2993089,2993090.0,2993089,,,20,Yes,Yes,Yes,269626,Flavobacterium sp.,1094466.10,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium indicum,d__Bacteria;p__21;c__101;o__587;f__1124;g__4188;s__06589,0,1,Yes,No,Yes,Yes
864567.3.patric,Streptococcus mitis ATCC 6249,PATRIC,OTU-10481,,high,99.87,0.2,8,1915891,239486.0,1905116,,,17,Yes,Yes,Yes,265494,Streptococcus mitis,864567.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,d__Bacteria;p__01;c__014;o__053;f__0110;g__0496;s__10481,0,1,Yes,No,Yes,Yes
1293598.4.patric,Lactobacillus saniviri JCM 17471 = DSM 24301,PATRIC,OTU-10147,,high,98.95,0.52,77,2435824,31634.1,116205,,,20,Yes,Yes,Yes,272183,Lactobacillus saniviri,1293598.4,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_C;s__Lactobacillus_C saniviri,d__Bacteria;p__01;c__014;o__053;f__0105;g__0449;s__10147,0,3,Yes,No,Yes,Yes
1033744.3.patric,Peptoniphilus sp. JC140,PATRIC,OTU-13774,,high,98.95,0.0,64,1816348,28380.4,90361,,,20,Yes,Yes,Yes,280068,Peptoniphilus sp.,1033744.3,d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A senegalensis,d__Bacteria;p__18;c__124;o__765;f__1533;g__6733;s__13774,0,1,Yes,No,Yes,Yes
1655.45.patric,Actinomyces naeslundii strain S43L,PATRIC,OTU-01654,,high,100.0,0.47,34,3122782,91846.5,220568,,,20,Yes,No,No,257321,Actinomyces naeslundii,1655.45,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii,d__Bacteria;p__23;c__114;o__654;f__1270;g__5254;s__01654,0,20,Yes,No,Yes,Yes
1296.35.patric,Staphylococcus sciuri strain P575,PATRIC,OTU-11032,,high,99.45,2.39,46,2761021,60022.2,1683433,,,20,Yes,Yes,Yes,259656,Staphylococcus sciuri,1296.35,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus_A;s__Staphylococcus_A sciuri,d__Bacteria;p__01;c__014;o__052;f__0103;g__0423;s__11032,0,27,Yes,No,Yes,Yes
550.150.patric,Enterobacter cloacae GGT036,PATRIC,OTU-20397,,high,99.97,0.2,1,4848754,4848750.0,4848754,,,20,Yes,Yes,Yes,261794,Enterobacter cloacae,550.150,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter,d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20397,1,59,Yes,No,Yes,Yes
45972.9.patric,Staphylococcus pasteuri strain 915_SPAS,PATRIC,OTU-10951,,high,98.56,0.57,141,2002651,14203.2,43625,,,10,Yes,Yes,Yes,271470,Staphylococcus pasteuri,45972.9,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella,d__Bacteria;p__01;c__014;o__052;f__0102;g__0421;s__10951,0,1,Yes,No,Yes,Yes
273119.6.patric,Ureaplasma parvum serovar 3 str. ATCC 700970,PATRIC,OTU-10760,,high,99.05,0.0,1,751719,751719.0,751719,,,20,Yes,Yes,Yes,276044,Ureaplasma parvum,273119.6,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Ureaplasmataceae;g__Ureaplasma;s__Ureaplasma parvum,d__Bacteria;p__01;c__010;o__030;f__0047;g__0135;s__10760,2,11,Yes,No,Yes,Yes
596327.3.patric,Porphyromonas uenonis 60-3,PATRIC,OTU-05454,,high,99.92,2.36,250,2242885,8971.54,65101,,,20,Yes,Yes,Yes,248180,Porphyromonas uenonis,596327.3,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas,d__Bacteria;p__21;c__101;o__592;f__1145;g__4427;s__05454,1,1,Yes,No,Yes,Yes
905.4.patric,Acidaminococcus fermentans strain WCC6,PATRIC,OTU-14006,,high,99.98,0.0,40,2280545,57013.6,115494,,,19,Yes,Yes,Yes,247706,Acidaminococcus fermentans,905.4,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus fermentans,d__Bacteria;p__18;c__123;o__722;f__1408;g__5746;s__14006,11,5,Yes,No,Yes,Yes
1033743.3.patric,Paenibacillus sp. JC66,PATRIC,OTU-11256,,high,98.66,1.84,197,5494973,27893.3,99504,,,20,Yes,Yes,Yes,265822,Paenibacillus sp.,1033743.3,d__Bacteria;p__Firmicutes;c__Bacilli_A;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus_L;s__Paenibacillus_L senegalensis,d__Bacteria;p__18;c__123;o__730;f__1431;g__5885;s__11256,0,1,Yes,No,Yes,Yes
1077464.26.patric,Streptococcus oralis subsp. tigurinus strain RH_49702_11,PATRIC,OTU-10465,,high,99.87,0.2,7,1913032,273290.0,1450296,,,20,Yes,Yes,Yes,262167,Streptococcus oralis,1077464.26,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,d__Bacteria;p__01;c__014;o__053;f__0110;g__0496;s__10465,0,8,Yes,No,Yes,Yes
1235804.3.patric,Helicobacter bilis WiWa,PATRIC,OTU-08989,,high,96.82,0.52,33,2548580,77229.7,225985,,,20,Yes,Yes,Yes,261096,Helicobacter bilis,1235804.3,d__Bacteria;p__Epsilonbacteraeota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_A;s__Helicobacter_A bilis,d__Bacteria;p__10;c__055;o__265;f__0513;g__1548;s__08989,0,12,Yes,No,Yes,Yes
1631871.4.patric,Weissella jogaejeotgali strain FOL01,PATRIC,OTU-10312,,high,99.23,0.77,2,2149545,1074770.0,2114163,,,20,Yes,Yes,Yes,272112,Weissella jogaejeotgali,1631871.4,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella jogaejeotgali,d__Bacteria;p__01;c__014;o__053;f__0108;g__0465;s__10312,0,1,Yes,No,Yes,Yes
29385.100.patric,Staphylococcus saprophyticus strain FDAARGOS_168,PATRIC,OTU-11018,,high,99.44,0.0,3,2650136,883379.0,2583617,,,20,Yes,Yes,Yes,274945,Staphylococcus saprophyticus,29385.100,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus saprophyticus,d__Bacteria;p__01;c__014;o__052;f__0103;g__0424;s__11018,0,49,Yes,No,Yes,Yes
1414719.3.patric,Corynebacterium sp. JCB,PATRIC,OTU-02534,,high,98.09,2.35,244,2472125,10131.7,16145,,,20,No,Yes,Yes,273019,Corynebacterium sp.,1414719.3,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium jeddahense,d__Bacteria;p__23;c__114;o__656;f__1267;g__5144;s__02534,0,1,Yes,No,Yes,Yes
1263010.3.patric,Firmicutes bacterium CAG:227,PATRIC,OTU-11991,,high,96.5,0.0,137,2691512,19646.1,47653,,,13,No,No,No,262097,Blautia sp.,1263010.3,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__,d__Bacteria;p__18;c__124;o__762;f__1517;g__6655;s__11991,35,1,Yes,No,No,Yes
1496.843.patric,Peptoclostridium difficile strain 630 delta erm,PATRIC,OTU-13544,,high,99.51,0.37,1,4293049,4293050.0,4293049,,,20,Yes,Yes,Yes,257628,Clostridioides difficile,1496.843,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile,d__Bacteria;p__18;c__124;o__767;f__1539;g__6779;s__13544,26,1272,Yes,No,Yes,Yes
1218086.3.patric,Citrobacter sedlakii NBRC 105722,PATRIC,OTU-20373,,high,100.0,0.08,30,4631466,154382.0,290667,,,19,Yes,Yes,Yes,218387,Citrobacter sedlakii,1218086.3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter_A;s__Citrobacter_A sediakii,d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20373,0,3,Yes,No,Yes,Yes
1236512.3.patric,Bacteroides rodentium JCM 16496,PATRIC,OTU-04713,,high,95.52,0.5,148,4884492,33003.3,78229,,,20,Yes,Yes,Yes,276025,Bacteroides rodentium,1236512.3,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides rodentium,d__Bacteria;p__21;c__101;o__592;f__1142;g__4347;s__04713,0,1,Yes,No,Yes,Yes
1313.6810.patric,Streptococcus pneumoniae,PATRIC,OTU-10444,,high,99.81,0.21,32,2156042,67376.3,186978,,,20,Yes,Yes,Yes,273791,Streptococcus pneumoniae,1313.6810,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,d__Bacteria;p__01;c__014;o__053;f__0110;g__0496;s__10444,0,1,Yes,No,Yes,Yes
1280.4816.patric,Staphylococcus aureus strain HDE288,PATRIC,OTU-10995,,high,99.62,0.08,7,2858802,408400.0,2840050,,,20,Yes,Yes,Yes,261279,Staphylococcus aureus,1280.4816,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus,d__Bacteria;p__01;c__014;o__052;f__0103;g__0424;s__10995,15,9828,Yes,No,Yes,Yes
1175296.12.patric,Methanomassiliicoccus luminyensis B10,PATRIC,OTU-01184,,high,98.39,0.0,26,2620233,100778.0,167531,,,17,No,No,No,263600,Methanomassiliicoccus luminyensis,1175296.12,d__Archaea;p__Thermoplasmataeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Methanomassiliicoccus luminyensis,d__Archaea;p__26;c__135;o__804;f__1602;g__7029;s__01184,0,1,Yes,No,Yes,Yes
1262894.3.patric,Eubacterium sp. CAG:841,PATRIC,OTU-12699,,high,90.6,1.34,46,1781447,38727.1,86148,,,17,No,No,Yes,219818,Oscillospirales sp.,1262894.3,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-724;s__,d__Bacteria;p__18;c__124;o__755;f__1502;g__6413;s__12699,11,1,Yes,No,No,Yes
78331.5.patric,Mycobacterium canettii CIPT 140010059,PATRIC,OTU-02871,,high,99.94,0.0,1,4482059,4482060.0,4482059,,,20,Yes,Yes,Yes,247165,Staphylococcus aureus,78331.5,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis,d__Bacteria;p__23;c__114;o__656;f__1266;g__5154;s__02871,0,10693,Yes,No,Yes,Yes
1262949.3.patric,Roseburia sp. CAG:50,PATRIC,OTU-12313,,high,97.27,0.39,136,2855021,20992.8,38569,,,15,No,No,No,259566,Eubacterium sp.,1262949.3,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I ramulus,d__Bacteria;p__18;c__124;o__762;f__1517;g__6624;s__12313,9,5,Yes,No,Yes,Yes
253.25.patric,Chryseobacterium indologenes strain UBA900,PATRIC,OTU-07091,,high,100.0,0.0,14,5200680,371477.0,805045,,,20,No,No,No,255397,Chryseobacterium sp.,253.25,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium gleum,d__Bacteria;p__21;c__101;o__587;f__1128;g__4231;s__07091,0,4,Yes,No,Yes,Yes
28038.24.patric,Lactobacillus curvatus strain WiKim52,PATRIC,OTU-10151,,high,99.46,0.0,1,1986991,1986990.0,1986991,,,20,Yes,Yes,Yes,246273,Lactobacillus curvatus,28038.24,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_D;s__Lactobacillus_D curvatus,d__Bacteria;p__01;c__014;o__053;f__0105;g__0453;s__10151,0,17,Yes,No,Yes,Yes
1262708.3.patric,Bacillus sp. CAG:988,PATRIC,OTU-10856,,high,96.85,0.67,25,1401601,56064.0,120217,,,15,No,No,No,250523,RF39 sp.,1262708.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-988;s__,d__Bacteria;p__01;c__014;o__047;f__0087;g__0359;s__10856,7,1,Yes,No,No,Yes
630.30.patric,Yersinia enterocolitica strain YEA,PATRIC,OTU-20724,,high,100.0,0.0,2,4533312,2266660.0,4532064,,,20,Yes,Yes,Yes,259601,Yersinia enterocolitica,630.30,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia enterocolitica,d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20724,0,210,Yes,No,Yes,Yes
59620.40.patric,uncultured Clostridium sp. strain 2789STDY5608795,PATRIC,OTU-12409,,high,99.37,1.27,49,3270962,66754.3,105136,,,18,Yes,Yes,Yes,272210,Marvinbryantia sp.,59620.40,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia;s__,d__Bacteria;p__18;c__124;o__762;f__1517;g__6664;s__12409,0,1,Yes,No,Yes,Yes
742821.3.patric,Sutterella wadsworthensis 3_1_45B,PATRIC,OTU-19516,,high,100.0,0.0,37,2965437,80147.0,217882,,,20,Yes,Yes,Yes,258639,Sutterella wadsworthensis,742821.3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis,d__Bacteria;p__08;c__064;o__329;f__0616;g__1860;s__19516,263,5,Yes,No,Yes,Yes
1246.14.patric,Leuconostoc lactis strain LN19,PATRIC,OTU-10288,,high,99.44,0.14,47,1724391,36689.2,82246,,,20,Yes,Yes,Yes,255427,Leuconostoc lactis,1246.14,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc lactis,d__Bacteria;p__01;c__014;o__053;f__0108;g__0467;s__10288,0,6,Yes,No,Yes,Yes
